A8,A7,A6,A5,A4,A3,A2,A1,A0,,Q7,Q6,Q5,Q4,Q3,Q2,Q1,Q0
0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,,0,0,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0,,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,1,,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,1,1,,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,1,,0,0,0,1,0,1,0,0
0,0,0,0,0,1,1,1,0,,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,,0,0,1,0,0,1,1,0
0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,0,1,,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,1,0,,0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,1,,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,1,,0,1,0,0,0,1,0,0
0,0,0,0,1,1,0,1,0,,0,0,1,0,0,1,1,0
0,0,0,0,1,1,0,1,1,,0,0,0,0,0,1,0,0
0,0,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,0,1,1,1,0,1,,0,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,0,,0,0,0,0,1,1,0,0
0,0,0,0,1,1,1,1,1,,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,1,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,1,0,,0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,1,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,0,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,0,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,0,1,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,0,1,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,1,0,0,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,1,0,1,,0,0,0,0,0,1,0,0
0,0,0,1,1,1,1,1,0,,0,0,0,0,1,0,0,0
0,0,0,1,1,1,1,1,1,,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,,1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,,0,0,1,0,0,1,1,0
0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
